[Ess] [TERRAIN] 1  x=2044.57  y=-29.83  z=-1071.45
[Ess] [TERRAIN] 2  x=2036.03  y=-28.89  z=-1075.45
[Ess] [TERRAIN] 3  x=2027.84  y=-26.19  z=-1078.65
[Ess] [TERRAIN] 4  x=2016.31  y=-20.56  z=-1082.82
[Ess] [TERRAIN] 5  x=2005.77  y=-19.46  z=-1086.42
[Ess] [TERRAIN] 6  x=1993.48  y=-19.95  z=-1090.39
[Ess] [TERRAIN] 7  x=1981.10  y=-17.17  z=-1094.24
[Ess] [TERRAIN] 8  x=1973.34  y=-13.52  z=-1096.53
[Ess] [TERRAIN] 9  x=1958.48  y=-8.28  z=-1100.87
[Ess] [TERRAIN] 10  x=1944.21  y=-2.10  z=-1104.81
[Ess] [TERRAIN] 11  x=1936.24  y=-5.35  z=-1106.98
[Ess] [TERRAIN] 12  x=1920.30  y=-10.34  z=-1111.14
[Ess] [TERRAIN] 13  x=1912.36  y=-12.03  z=-1113.16
[Ess] [TERRAIN] 14  x=1896.29  y=-16.29  z=-1117.10
[Ess] [TERRAIN] 15  x=1888.18  y=-18.40  z=-1119.04
[Ess] [TERRAIN] 16  x=1872.23  y=-18.48  z=-1122.76
[Ess] [TERRAIN] 17  x=1864.39  y=-18.48  z=-1124.52
[Ess] [TERRAIN] 18  x=1848.83  y=-18.45  z=-1127.94
[Ess] [TERRAIN] 19  x=1834.05  y=-18.34  z=-1131.05
[Ess] [TERRAIN] 20  x=1818.57  y=-18.33  z=-1134.18
[Ess] [TERRAIN] 21  x=1805.66  y=-18.95  z=-1136.71
[Ess] [TERRAIN] 22  x=1797.41  y=-19.45  z=-1138.27
[Ess] [TERRAIN] 23  x=1789.17  y=-19.48  z=-1139.79
[Ess] [TERRAIN] 24  x=1774.67  y=-19.45  z=-1142.43
[Ess] [TERRAIN] 25  x=1766.01  y=-19.45  z=-1143.94
[Ess] [TERRAIN] 26  x=1751.46  y=-18.85  z=-1146.43
[Ess] [TERRAIN] 27  x=1743.31  y=-18.31  z=-1147.78
[Ess] [TERRAIN] 28  x=1735.06  y=-17.51  z=-1149.12
[Ess] [TERRAIN] 29  x=1726.86  y=-17.51  z=-1150.43
[Ess] [TERRAIN] 30  x=1718.74  y=-17.82  z=-1151.71
[Ess] [TERRAIN] 31  x=1710.47  y=-18.34  z=-1152.97
[Ess] [TERRAIN] 32  x=1701.58  y=-19.03  z=-1154.32
[Ess] [TERRAIN] 33  x=1687.28  y=-19.45  z=-1156.42
[Ess] [TERRAIN] 34  x=1678.72  y=-19.45  z=-1157.64
[Ess] [TERRAIN] 35  x=1670.70  y=-19.48  z=-1158.77
[Ess] [TERRAIN] 36  x=1662.63  y=-19.48  z=-1159.88
[Ess] [TERRAIN] 37  x=1654.07  y=-19.48  z=-1161.04
[Ess] [TERRAIN] 38  x=1645.94  y=-17.83  z=-1162.12
[Ess] [TERRAIN] 39  x=1637.57  y=-14.20  z=-1163.21
[Ess] [TERRAIN] 40  x=1629.09  y=-10.47  z=-1164.28
[Ess] [TERRAIN] 41  x=1620.80  y=-7.90  z=-1165.32
[Ess] [TERRAIN] 42  x=1603.97  y=-4.56  z=-1167.36
[Ess] [TERRAIN] 43  x=1595.76  y=-5.24  z=-1168.33
[Ess] [TERRAIN] 44  x=1587.77  y=-5.46  z=-1169.27
[Ess] [TERRAIN] 45  x=1573.95  y=-9.15  z=-1170.87
[Ess] [TERRAIN] 46  x=1562.75  y=-11.93  z=-1172.14
[Ess] [TERRAIN] 47  x=1550.48  y=-13.13  z=-1173.53
[Ess] [TERRAIN] 48  x=1538.00  y=-14.53  z=-1174.92
[Ess] [TERRAIN] 49  x=1524.53  y=-14.36  z=-1176.41
[Ess] [TERRAIN] 50  x=1514.69  y=-13.90  z=-1177.49
[Ess] [TERRAIN] 51  x=1503.58  y=-13.28  z=-1178.71
[Ess] [TERRAIN] 52  x=1491.58  y=-11.12  z=-1180.01
[Ess] [TERRAIN] 53  x=1481.53  y=-9.07  z=-1181.10
[Ess] [TERRAIN] 54  x=1471.34  y=-7.78  z=-1182.20
[Ess] [TERRAIN] 55  x=1460.78  y=8.80  z=-1183.33
[Ess] [TERRAIN] 56  x=1451.11  y=12.19  z=-1184.36
[Ess] [TERRAIN] 57  x=1442.43  y=13.44  z=-1185.29
[Ess] [TERRAIN] 58  x=1434.07  y=13.11  z=-1186.16
[Ess] [TERRAIN] 59  x=1424.86  y=13.32  z=-1187.12
[Ess] [TERRAIN] 60  x=1412.45  y=14.19  z=-1188.39
[Ess] [TERRAIN] 61  x=1400.57  y=16.51  z=-1189.57
[Ess] [TERRAIN] 62  x=1390.63  y=18.61  z=-1190.54
[Ess] [TERRAIN] 63  x=1382.17  y=19.85  z=-1191.34
[Ess] [TERRAIN] 64  x=1372.44  y=20.34  z=-1192.23
[Ess] [TERRAIN] 65  x=1364.00  y=19.96  z=-1192.99
[Ess] [TERRAIN] 66  x=1355.26  y=19.55  z=-1193.76
[Ess] [TERRAIN] 67  x=1345.23  y=20.29  z=-1194.63
[Ess] [TERRAIN] 68  x=1335.75  y=20.65  z=-1195.44
[Ess] [TERRAIN] 69  x=1326.24  y=19.94  z=-1196.25
[Ess] [TERRAIN] 70  x=1316.93  y=19.39  z=-1196.93
[Ess] [TERRAIN] 71  x=1308.01  y=18.54  z=-1197.66
[Ess] [TERRAIN] 72  x=1299.19  y=18.78  z=-1198.54
[Ess] [TERRAIN] 73  x=1291.06  y=19.54  z=-1199.45
[Ess] [TERRAIN] 74  x=1283.19  y=20.31  z=-1201.68
[Ess] [TERRAIN] 75  x=1275.28  y=20.53  z=-1204.97
[Ess] [TERRAIN] 76  x=1266.54  y=20.81  z=-1208.20
[Ess] [TERRAIN] 77  x=1257.42  y=20.56  z=-1211.05
[Ess] [TERRAIN] 78  x=1247.34  y=19.70  z=-1214.30
[Ess] [TERRAIN] 79  x=1236.25  y=19.59  z=-1218.39
[Ess] [TERRAIN] 80  x=1225.74  y=18.83  z=-1222.26
[Ess] [TERRAIN] 81  x=1212.59  y=17.31  z=-1227.15
[Ess] [TERRAIN] 82  x=1200.70  y=18.15  z=-1231.70
[Ess] [TERRAIN] 83  x=1189.09  y=19.36  z=-1236.50
[Ess] [TERRAIN] 84  x=1181.77  y=19.92  z=-1239.76
[Ess] [TERRAIN] 85  x=1168.82  y=15.21  z=-1245.81
[Ess] [TERRAIN] 86  x=1161.24  y=10.49  z=-1249.40
[Ess] [TERRAIN] 87  x=1154.01  y=7.05  z=-1252.90
[Ess] [TERRAIN] 88  x=1146.28  y=6.52  z=-1256.71
[Ess] [TERRAIN] 89  x=1138.54  y=6.46  z=-1260.58
[Ess] [TERRAIN] 90  x=1131.29  y=6.22  z=-1264.26
[Ess] [TERRAIN] 91  x=1123.67  y=6.01  z=-1268.24
[Ess] [TERRAIN] 92  x=1116.10  y=6.03  z=-1272.26
[Ess] [TERRAIN] 93  x=1104.41  y=5.99  z=-1278.63
[Ess] [TERRAIN] 94  x=1091.40  y=5.99  z=-1286.02
[Ess] [TERRAIN] 95  x=1077.49  y=5.98  z=-1294.20
[Ess] [TERRAIN] 96  x=1064.57  y=5.98  z=-1302.11
[Ess] [TERRAIN] 97  x=1053.68  y=5.99  z=-1309.03
[Ess] [TERRAIN] 98  x=1046.62  y=5.99  z=-1313.60
[Ess] [TERRAIN] 99  x=1032.98  y=5.98  z=-1322.65
[Ess] [TERRAIN] 100  x=1021.24  y=6.30  z=-1331.12
[Ess] [TERRAIN] 101  x=1009.34  y=6.21  z=-1340.11
[Ess] [TERRAIN] 102  x=997.88  y=5.61  z=-1348.95
[Ess] [TERRAIN] 103  x=986.36  y=4.67  z=-1358.13
[Ess] [TERRAIN] 104  x=976.56  y=3.63  z=-1366.10
[Ess] [TERRAIN] 105  x=969.97  y=3.51  z=-1371.62
[Ess] [TERRAIN] 106  x=963.63  y=3.54  z=-1377.01
[Ess] [TERRAIN] 107  x=952.95  y=3.40  z=-1386.24
[Ess] [TERRAIN] 108  x=946.50  y=3.09  z=-1392.03
[Ess] [TERRAIN] 109  x=940.38  y=3.95  z=-1397.55
[Ess] [TERRAIN] 110  x=934.35  y=5.23  z=-1403.04
[Ess] [TERRAIN] 111  x=928.16  y=5.13  z=-1408.89
[Ess] [TERRAIN] 112  x=917.61  y=0.40  z=-1418.91
[Ess] [TERRAIN] 113  x=911.80  y=-6.99  z=-1424.70
[Ess] [TERRAIN] 114  x=905.83  y=-10.46  z=-1430.80
[Ess] [TERRAIN] 115  x=900.01  y=-11.70  z=-1436.78
[Ess] [TERRAIN] 116  x=894.25  y=-14.31  z=-1442.78
[Ess] [TERRAIN] 117  x=888.30  y=-17.72  z=-1449.12
[Ess] [TERRAIN] 118  x=882.48  y=-18.72  z=-1455.35
[Ess] [TERRAIN] 119  x=871.37  y=-18.69  z=-1467.49
[Ess] [TERRAIN] 120  x=865.77  y=-22.59  z=-1473.74
[Ess] [TERRAIN] 121  x=860.32  y=-30.18  z=-1479.83
[Ess] [TERRAIN] 122  x=854.86  y=-37.95  z=-1486.09
[Ess] [TERRAIN] 123  x=849.35  y=-44.80  z=-1492.46
[Ess] [TERRAIN] 124  x=839.96  y=-50.92  z=-1503.45
[Ess] [TERRAIN] 125  x=834.43  y=-52.98  z=-1510.09
[Ess] [TERRAIN] 126  x=829.28  y=-54.10  z=-1516.29
[Ess] [TERRAIN] 127  x=818.56  y=-53.95  z=-1529.45
[Ess] [TERRAIN] 128  x=809.68  y=-53.24  z=-1540.54
[Ess] [TERRAIN] 129  x=799.49  y=-53.11  z=-1553.53
[Ess] [TERRAIN] 130  x=794.47  y=-53.81  z=-1559.98
[Ess] [TERRAIN] 131  x=789.46  y=-54.44  z=-1566.48
[Ess] [TERRAIN] 132  x=784.31  y=-54.21  z=-1573.27
[Ess] [TERRAIN] 133  x=779.31  y=-52.61  z=-1579.89
[Ess] [TERRAIN] 134  x=774.47  y=-50.85  z=-1586.34
[Ess] [TERRAIN] 135  x=769.36  y=-49.80  z=-1593.26
[Ess] [TERRAIN] 136  x=760.74  y=-49.63  z=-1605.03
[Ess] [TERRAIN] 137  x=755.95  y=-50.06  z=-1611.68
[Ess] [TERRAIN] 138  x=751.10  y=-50.47  z=-1618.49
[Ess] [TERRAIN] 139  x=743.40  y=-50.98  z=-1629.38
[Ess] [TERRAIN] 140  x=734.21  y=-50.53  z=-1642.54
[Ess] [TERRAIN] 141  x=727.52  y=-49.48  z=-1652.23
[Ess] [TERRAIN] 142  x=719.16  y=-48.33  z=-1664.49
[Ess] [TERRAIN] 143  x=712.38  y=-38.21  z=-1674.60
[Ess] [TERRAIN] 144  x=705.66  y=-33.80  z=-1684.78
[Ess] [TERRAIN] 145  x=698.69  y=-32.82  z=-1695.52
[Ess] [TERRAIN] 146  x=692.92  y=-32.98  z=-1704.58
[Ess] [TERRAIN] 147  x=687.40  y=-32.83  z=-1713.41
[Ess] [TERRAIN] 148  x=681.45  y=-32.93  z=-1723.14
[Ess] [TERRAIN] 149  x=676.50  y=-33.04  z=-1731.42
[Ess] [TERRAIN] 150  x=671.86  y=-33.09  z=-1739.35
[Ess] [TERRAIN] 151  x=667.43  y=-32.86  z=-1747.11
[Ess] [TERRAIN] 152  x=663.27  y=-32.79  z=-1754.57
[Ess] [TERRAIN] 153  x=659.36  y=-32.81  z=-1761.78
[Ess] [TERRAIN] 154  x=636.13  y=-32.82  z=-1810.31
[Ess] [TERRAIN] 155  x=634.88  y=-32.78  z=-1813.36
[Ess] [TERRAIN] 156  x=633.65  y=-32.82  z=-1816.42
[Ess] [TERRAIN] 157  x=632.49  y=-32.82  z=-1819.41
[Ess] [TERRAIN] 158  x=631.37  y=-32.82  z=-1822.35
[Ess] [TERRAIN] 159  x=630.31  y=-32.81  z=-1825.21
[Ess] [TERRAIN] 160  x=629.31  y=-32.81  z=-1827.96
[Ess] [TERRAIN] 161  x=628.36  y=-32.81  z=-1830.66
[Ess] [TERRAIN] 162  x=627.67  y=-32.78  z=-1832.67
[Ess] [TERRAIN] 163  x=626.80  y=-32.69  z=-1835.32
