[Ess] Net: DISABLED (Ess.Net.OFF) -- no receiver hijack on NetEventCallback, no wire traffic
[Ess] Net: v0.2.1 ready (EV=5 SLOTS=5 HB=2)
[Ess] registered 'demo_convoy' (Demo: Wreck the Convoy)
[Ess] Contract: loaded (1 contract(s) registered)
[Ess] v0.2.1 ready
[Ess] [roadlog] STARTED -- logging every 0.25s (F11 again to stop)
[Ess] [ROAD] 1  x=2638.71  y=-3.89  z=-1032.05  yaw=131.4
[Ess] [ROAD] 2  x=2637.27  y=-13.91  z=-1030.73  yaw=126.7
[Ess] [ROAD] 3  x=2635.54  y=-13.84  z=-1029.20  yaw=112.7
[Ess] [ROAD] 4  x=2633.20  y=-13.71  z=-1027.52  yaw=92.7
[Ess] [ROAD] 5  x=2631.23  y=-13.53  z=-1027.23  yaw=85.3
[Ess] [ROAD] 6  x=2633.10  y=-13.66  z=-1026.20  yaw=57.9
[Ess] [ROAD] 7  x=2635.72  y=-13.84  z=-1024.81  yaw=52.2
[Ess] [ROAD] 8  x=2638.72  y=-13.81  z=-1022.82  yaw=57.1
[Ess] [ROAD] 9  x=2641.49  y=-13.76  z=-1020.90  yaw=53.8
[Ess] [ROAD] 10  x=2644.13  y=-13.86  z=-1019.12  yaw=54.7
[Ess] [ROAD] 11  x=2646.82  y=-13.78  z=-1017.51  yaw=65.0
[Ess] [ROAD] 12  x=2649.39  y=-13.63  z=-1016.40  yaw=78.4
[Ess] [ROAD] 13  x=2651.98  y=-13.74  z=-1015.77  yaw=94.6
[Ess] [ROAD] 14  x=2654.12  y=-13.73  z=-1015.88  yaw=108.9
[Ess] [ROAD] 15  x=2655.75  y=-13.73  z=-1016.47  yaw=121.1
[Ess] [ROAD] 16  x=2657.01  y=-13.73  z=-1017.31  yaw=130.5
[Ess] [ROAD] 17  x=2658.76  y=-13.72  z=-1019.00  yaw=139.9
[Ess] [ROAD] 18  x=2661.16  y=-13.36  z=-1022.06  yaw=146.2
[Ess] [ROAD] 19  x=2663.47  y=-12.27  z=-1025.16  yaw=143.7
[Ess] [ROAD] 20  x=2666.23  y=-11.17  z=-1028.86  yaw=144.2
[Ess] [ROAD] 21  x=2669.02  y=-10.90  z=-1032.61  yaw=144.5
[Ess] [ROAD] 22  x=2671.85  y=-11.65  z=-1036.41  yaw=144.6
[Ess] [ROAD] 23  x=2674.68  y=-13.07  z=-1040.20  yaw=144.8
[Ess] [ROAD] 24  x=2677.62  y=-13.83  z=-1044.09  yaw=141.0
[Ess] [ROAD] 25  x=2680.74  y=-13.74  z=-1047.66  yaw=132.8
[Ess] [ROAD] 26  x=2684.67  y=-13.75  z=-1051.48  yaw=132.1
[Ess] [ROAD] 27  x=2689.45  y=-13.75  z=-1055.87  yaw=132.2
[Ess] [ROAD] 28  x=2694.95  y=-13.75  z=-1060.87  yaw=132.2
[Ess] [ROAD] 29  x=2701.13  y=-13.75  z=-1066.47  yaw=132.2
[Ess] [ROAD] 30  x=2707.85  y=-13.75  z=-1072.56  yaw=132.2
[Ess] [ROAD] 31  x=2715.11  y=-13.75  z=-1079.16  yaw=132.6
[Ess] [ROAD] 32  x=2722.56  y=-13.79  z=-1086.13  yaw=134.2
[Ess] [ROAD] 33  x=2729.52  y=-13.82  z=-1092.83  yaw=134.3
[Ess] [ROAD] 34  x=2736.75  y=-14.02  z=-1099.87  yaw=134.3
[Ess] [ROAD] 35  x=2743.85  y=-15.21  z=-1106.80  yaw=134.3
[Ess] [ROAD] 36  x=2751.14  y=-16.33  z=-1113.85  yaw=131.6
[Ess] [ROAD] 37  x=2758.76  y=-17.13  z=-1120.49  yaw=128.1
[Ess] [ROAD] 38  x=2766.58  y=-17.90  z=-1126.77  yaw=128.0
[Ess] [ROAD] 39  x=2774.22  y=-18.61  z=-1132.78  yaw=128.0
